School Name,School_Links,Email
YMCA Christian Academy,https://www.schooland.hk/ps/ica,office@yca.edu.hk
三水同鄉會禤景榮學校,https://www.schooland.hk/ps/ssnahkws,ssnahkws@yahoo.com.hk
上水宣道小學,https://www.schooland.hk/ps/apsss,apsmail@apsss.edu.hk
上水惠州公立學校,https://www.schooland.hk/ps/waichow,info@waichow.edu.hk
劉德容紀念小學,https://www.schooland.hk/ps/ltymps,office@ltyschool.edu.hk
世界龍岡學校黃耀南小學,https://www.schooland.hk/ps/wynps,info@wynps.edu.hk
中華傳道會呂明才小學,https://www.schooland.hk/ps/cneclmc,email@cneclmc.edu.hk
許大同學校,https://www.schooland.hk/ps/cnectt,info@cnectt.edu.hk
中華基督教會何福堂小學,https://www.schooland.hk/ps/hft,info@hft.edu.hk
中華基督教會元朗真光小學,https://www.schooland.hk/ps/ckps,info@ckps.edu.hk
全完第一小學,https://www.schooland.hk/ps/chuenyuen1,info@cyf.edu.hk
全完第二小學,https://www.schooland.hk/ps/chuenyuen2,info@cy2.edu.hk
協和小學,https://www.schooland.hk/ps/heepwoh1,enquiry@heepwoh.edu.hk
中華基督教會協和小學(長沙灣),https://www.schooland.hk/ps/heepwoh2,email@heepwohcsw.edu.hk
基全小學,https://www.schooland.hk/ps/cccktps,kts-mail@cccktps.edu.hk
中華基督教會基慈小學,https://www.schooland.hk/ps/keitsz,info@keitsz.edu.hk
基慧小學,https://www.schooland.hk/ps/kws,info@kws.edu.hk
中華基督教會基慧小學(馬灣),https://www.schooland.hk/ps/kwmwps,kwikwimail@yahoo.com.hk
基法小學,https://www.schooland.hk/ps/kfp,ccckfp@yahoo.com.hk
基法小學油塘,https://www.schooland.hk/ps/kfps,kfs-mail@hkedcity.net
基灣小學,https://www.schooland.hk/ps/keiwan,info@keiwan.edu.hk
基灣小學愛蝶灣,https://www.schooland.hk/ps/ccckeiwan,school@ccckeiwan.edu.hk
基真小學,https://www.schooland.hk/ps/keichun,info@keichun.edu.hk
中華基督教會基華小學,https://www.schooland.hk/ps/keiwa,keiwa@keiwa.edu.hk
基華小學九龍塘,https://www.schooland.hk/ps/kwpskt,kwpskt@eclass.kwpskt.edu.hk
中華基督教會大澳小學,https://www.schooland.hk/ps/ccctaiops,taiopris@ccctaiops.edu.hk
中華基督教會拔臣小學,https://www.schooland.hk/ps/butsan,cccbs@butsan.edu.hk
中華基督教會方潤華小學,https://www.schooland.hk/ps/fyw,info@cccfyw.edu.hk
基道小學,https://www.schooland.hk/ps/keito,info@keito.edu.hk
基道小學九龍城,https://www.schooland.hk/ps/ktkc,cccktkc@gmail.com
蒙黃花沃紀念小學,https://www.schooland.hk/ps/cccmwfys,info@cccmwfys.edu.hk
長洲堂錦江小學,https://www.schooland.hk/ps/ccckkps,ccckkps1@gmail.com
中華基督教青年會小學,https://www.schooland.hk/ps/cymcaps,info@cymcaps.edu.hk
中西區聖安多尼學校,https://www.schooland.hk/ps/cwsa,sch@cwsa.edu.hk
丹拿山循道學校,https://www.schooland.hk/ps/cmsth,info@cmsth.edu.hk
九龍城浸信會禧年(恩平)小學,https://www.schooland.hk/ps/hnyp,enquiry@hnyp.edu.hk
九龍城浸信會禧年小學,https://www.schooland.hk/ps/haynien,info@haynien.edu.hk
九龍塘天主教華德學校,https://www.schooland.hk/ps/ktbwcs,mail@ktbwcs.edu.hk
九龍塘學校(小學部),https://www.schooland.hk/ps/ktsps,info@ktsps.edu.hk
九龍塘官立小學,https://www.schooland.hk/ps/klntong,klntgps@edb.gov.hk
九龍塘宣道小學,https://www.schooland.hk/ps/apskt,office@apskt.edu.hk
九龍塘方方樂趣英文小學,https://www.schooland.hk/ps/fsris,office@fsris.edu.hk
李炳紀念學校,https://www.schooland.hk/ps/kwwclpms,lpp-mail@hkedcity.net
九龍灣聖若翰天主教小學,https://www.schooland.hk/ps/kbsjb,sch@kbsjb.edu.hk
九龍真光中學(小學部),https://www.schooland.hk/ps/ktlms,info@ktlsps.edu.hk
九龍禮賢學校,https://www.schooland.hk/ps/krs,info@krs.edu.hk
九龍靈光小學,https://www.schooland.hk/ps/eps,eps-mail@hkedcity.net
五旬節于良發小學,https://www.schooland.hk/ps/pylfps,info@pylfps.edu.hk
五旬節靳茂生小學,https://www.schooland.hk/ps/pgms,pgms_off@yahoo.com.hk
五邑工商總會學校,https://www.schooland.hk/ps/fdbwa,info@fdbwa.edu.hk
五邑鄒振猷學校,https://www.schooland.hk/ps/fdccys,mail@fdccys.edu.hk
亞斯理衞理小學,https://www.schooland.hk/ps/asbury,mail@asbury.edu.hk
仁德天主教小學,https://www.schooland.hk/ps/yantak,info@yantak.edu.hk
仁愛堂劉皇發夫人小學,https://www.schooland.hk/ps/yotmlwfps,mlwf@yotps.edu.hk
仁愛堂田家炳小學,https://www.schooland.hk/ps/yottkpps,office@yottkpps.edu.hk
仁濟醫院何式南小學,https://www.schooland.hk/ps/hosiknam,ychhsn@yahoo.com.hk
仁濟醫院羅陳楚思小學,https://www.schooland.hk/ps/lccs,office@lccs.edu.hk
仁濟醫院蔡衍濤小學,https://www.schooland.hk/ps/ychchtps,admin@ychchtps.edu.hk
仁濟醫院趙曾學韞小學,https://www.schooland.hk/ps/ychcthwps,info@ychcthwps.edu.hk
仁濟醫院陳耀星小學,https://www.schooland.hk/ps/ychcisps,info@ychcisps.edu.hk
伊利沙伯中學舊生會小學,https://www.schooland.hk/ps/qesosaps,qps-mail@qesosaps.edu.hk
伊利沙伯中學舊生會小學分校,https://www.schooland.hk/ps/qesosabps,info@qbps.edu.hk
伊斯蘭學校,https://www.schooland.hk/ps/islamps,mail@islamps.edu.hk
