School Name,School_Links,Email
一諾中學,https://www.schooland.hk/ss/inno,info@iss.edu.hk
上水官立中學,https://www.schooland.hk/ss/ssgss,ssgss@edb.gov.hk
世界龍岡學校劉皇發中學,https://www.schooland.hk/ss/lwfss,contact@lwfss.edu.hk
中聖書院,https://www.schooland.hk/ss/chc,enquire@chc.edu.hk
中華傳道會劉永生中學,https://www.schooland.hk/ss/lws,lws@lws.edu.hk
中華傳道會安柱中學,https://www.schooland.hk/ss/cneccc,school@cneccc.edu.hk
中華傳道會李賢堯紀念中學,https://www.schooland.hk/ss/liymss,mailbox@vclass.liymss.edu.hk
中華基督教會何福堂書院,https://www.schooland.hk/ss/hftc,hft-mail@hftc.edu.hk
中華基督教會全完中學,https://www.schooland.hk/ss/chuenyuen,cyc@chuenyuen.edu.hk
中華基督教會公理書院,https://www.schooland.hk/ss/cccklc,klc@cccklc.edu.hk
中華基督教會協和書院,https://www.schooland.hk/ss/ccchwc,info@ccchwc.edu.hk
中華基督教會基元中學,https://www.schooland.hk/ss/ccckyc,ky-mail@hkedcity.net
中華基督教會基協中學,https://www.schooland.hk/ss/keiheep,email@keiheep.edu.hk
中華基督教會基新中學,https://www.schooland.hk/ss/keisan,mail@ks.edu.hk
中華基督教會基智中學,https://www.schooland.hk/ss/keichi,keichi@school.net.hk
中華基督教會基朗中學,https://www.schooland.hk/ss/keilong,mailbox@keilong.edu.hk
中華基督教會基道中學,https://www.schooland.hk/ss/ccckeito,enquiry@ccckeito.edu.hk
中華基督教會扶輪中學,https://www.schooland.hk/ss/rotary,rotary@school.net.hk
中華基督教會方潤華中學,https://www.schooland.hk/ss/fywss,info@fywss.edu.hk
中華基督教會桂華山中學,https://www.schooland.hk/ss/ccckws,mail@ccckws.edu.hk
中華基督教會燕京書院,https://www.schooland.hk/ss/yenching,info@yenching.edu.hk
中華基督教會蒙民偉書院,https://www.schooland.hk/ss/cccmmwc,info@cccmmwc.edu.hk
譚李麗芬紀念中學,https://www.schooland.hk/ss/tllf,tll-mail@tllf.edu.hk
中華基督教會銘基書院,https://www.schooland.hk/ss/cccmkc,cccmkc@cccmkc.edu.hk
中華基督教會銘賢書院,https://www.schooland.hk/ss/cccmyc,mingyin@cccmyc.edu.hk
馮梁結紀念中學,https://www.schooland.hk/ss/flk,info@flk.edu.hk
中華基督教青年會中學,https://www.schooland.hk/ss/cymcass,school@cymcass.edu.hk
中華基金中學,https://www.schooland.hk/ss/cfss,info@cfss.edu.hk
中華聖潔會靈風中學,https://www.schooland.hk/ss/lsc,chclsc@hotmail.com
九龍三育中學,https://www.schooland.hk/ss/ksyss,school@ksyss.edu.hk
九龍塘學校,https://www.schooland.hk/ss/ktsss,hostmaster@ktsss.edu.hk
九龍工業學校,https://www.schooland.hk/ss/kts,mail@kts.edu.hk
九龍真光中學,https://www.schooland.hk/ss/ktlms,mail@ktls.edu.hk
五旬節中學,https://www.schooland.hk/ss/pentecostal,pentecostalschool@gmail.com
五旬節林漢光中學,https://www.schooland.hk/ss/plhks,office@plhks.edu.hk
五旬節聖潔會永光書院,https://www.schooland.hk/ss/wingkwong,webmaster@wingkwong.edu.hk
五育中學,https://www.schooland.hk/ss/nyss,email@nyss.edu.hk
五邑司徒浩中學,https://www.schooland.hk/ss/szetoho,office@szetoho.edu.hk
仁愛堂田家炳中學,https://www.schooland.hk/ss/yottkp,office@yottkp.edu.hk
仁愛堂陳黃淑芳紀念中學,https://www.schooland.hk/ss/yotcwsf,mail@yotcwsf.edu.hk
仁濟醫院林百欣中學,https://www.schooland.hk/ss/ychlpyss,info@ychlpyss.edu.hk
仁濟醫院王華湘中學,https://www.schooland.hk/ss/ychwwsss,info@ychwwsss.edu.hk
仁濟醫院第二中學,https://www.schooland.hk/ss/ych2ss,school@ych2ss.edu.hk
仁濟醫院羅陳楚思中學,https://www.schooland.hk/ss/ychlccsc,ychlccsc@ychlccsc.edu.hk
仁濟醫院董之英紀念中學,https://www.schooland.hk/ss/ychtcy,office@ychtcy.edu.hk
仁濟醫院靚次伯紀念中學,https://www.schooland.hk/ss/lcp,lcp-mail@lcp.mysch.net
伊利沙伯中學,https://www.schooland.hk/ss/qes,qesmail@qes.edu.hk
伊利沙伯中學舊生會中學,https://www.schooland.hk/ss/ss-qesosa,info@qos.edu.hk
湯國華中學,https://www.schooland.hk/ss/tkwss-qesosa,info@qts.edu.hk
伊斯蘭脫維善紀念中學,https://www.schooland.hk/ss/iktmc,iktmc@learn.iktmc.edu.hk
伯特利中學,https://www.schooland.hk/ss/bethel,bhsmail@bethel.edu.hk
何文田官立中學,https://www.schooland.hk/ss/hgss,hgss@school.net.hk
何明華會督銀禧中學,https://www.schooland.hk/ss/bhjs,mail@bhjs.edu.hk
何東中學,https://www.schooland.hk/ss/hotungss,hotungss@hotungss.edu.hk
余振強紀念中學,https://www.schooland.hk/ss/yckmc,info@yckmc.edu.hk
余振強紀念第二中學,https://www.schooland.hk/ss/yck2,office@yck2.edu.hk
佛教何南金中學,https://www.schooland.hk/ss/bhnkc,enquiry@bhnkc.edu.hk
佛教善德英文中學,https://www.schooland.hk/ss/bstc,info@eclass.bstc.edu.hk
佛教大光慈航中學,https://www.schooland.hk/ss/btkchc,btc@btkchc.edu.hk
佛教大雄中學,https://www.schooland.hk/ss/bthc,office@mail.bthc.edu.hk
佛教孔仙洲紀念中學,https://www.schooland.hk/ss/bhscmc,mail@bhscmc.edu.hk
佛教志蓮中學,https://www.schooland.hk/ss/clbss,admin@clbss.edu.hk
佛教慧因法師紀念中學,https://www.schooland.hk/ss/waiyan,
佛教沈香林紀念中學,https://www.schooland.hk/ss/bshlmc,info@bsc.edu.hk
佛教筏可紀念中學,https://www.schooland.hk/ss/bfhmc,info@eclass.bfhmc.edu.hk
佛教茂峰法師紀念中學,https://www.schooland.hk/ss/bmf,bmf-mail@bmf.edu.hk
佛教葉紀南紀念中學,https://www.schooland.hk/ss/byknmc,ykn-mail@byknmc.edu.hk
佛教覺光法師中學,https://www.schooland.hk/ss/bkkss,bkkoffice@bkkss.edu.hk
佛教黃允畋中學,https://www.schooland.hk/ss/bwwtc,info@bwwtc.edu.hk
佛教黃鳳翎中學,https://www.schooland.hk/ss/bwflc,bwc-mail@bwflc.edu.hk
保祿六世書院,https://www.schooland.hk/ss/ppaulvi,ppn-mail@hkcampus.net
保良局何蔭棠中學,https://www.schooland.hk/ss/plkchc,info@plkchc.edu.hk
